comparison,n,exact_agreement,macro_f1_treating_second_as_reference,cohen_kappa
HumAID vs GPT-4o,500,0.5,0.4984499826929733,0.4405656999641962
Researcher first pass vs HumAID,500,0.518,0.523421366719088,0.46143085084986657
Researcher first pass vs GPT-4o,500,0.646,0.6432619982470331,0.6046283059328091
Claude vs HumAID,500,0.484,0.4856938557209271,0.4233786435541331
Claude vs GPT-4o,500,0.618,0.6212217794239411,0.5732797140303842
Gemini vs HumAID,500,0.518,0.5262049853630992,0.46090800093054884
Gemini vs GPT-4o,500,0.624,0.6384696675814905,0.5796064400715564
Grok vs HumAID,500,0.53,0.5156866207541075,0.474216470672466
Grok vs GPT-4o,500,0.636,0.6340009989181838,0.5929504383610664
Researcher first pass vs Claude,500,0.75,0.7389474295789469,0.7167767838531046
Researcher first pass vs Gemini,500,0.682,0.6731102167855159,0.6401917167154709
Researcher first pass vs Grok,500,0.708,0.6918602621048751,0.6717552103239731
Claude vs Gemini,500,0.736,0.7355617276408337,0.6974253649233477
Claude vs Grok,500,0.758,0.7510246291516196,0.7240781702506099
Gemini vs Grok,500,0.694,0.6978535962173612,0.6523864916936275
