annotation_id,event,tweet_text,primary_label,secondary_label,confidence,ambiguous,reason
PILOTV2_001,kaikoura_earthquake_2016,musadellamusica: Please send your good vibes and prayers to New Zealand after our biggest earthquake yet.,,,,, 
PILOTV2_002,hurricane_dorian_2019,Important information for families receiving food assistance benefits.,,,,, 
PILOTV2_003,kaikoura_earthquake_2016,So we back under Tsunami threat?!?!?. #eqnz Make up ya mind,,,,, 
PILOTV2_004,canada_wildfires_2016,RT @edmontonjournal: Premier Rachel Notley to tour Fort McMurray wildfire damage today,,,,, 
PILOTV2_005,hurricane_maria_2017,Help #PuertoRico: Gov. Sununu is collecting H20 &amp; non-perishable foods at State House. Get info at  #hurricanemaria,,,,, 
PILOTV2_006,hurricane_maria_2017,RT @StephanieFuerte: ICYMI on #WorldNewsTonight: Our lead story with @VictorOquendo Island of Puerto Rico destroyed by Hurricane Maria ht,,,,, 
PILOTV2_007,kerala_floods_2018,The sangh parivar and their associates are doing their best to not #LetKeralaLive after the biggest natural calamity of our times. Please spread the word. Help us #RebuildKerala,,,,, 
PILOTV2_008,hurricane_dorian_2019,Hurricane Dorian: Shelters for Jacksonville and Northeast Florida  #Jacksonville shelters so far. @realdonaldtrump #MAGA #Florida #KAG,,,,, 
PILOTV2_009,canada_wildfires_2016,RT @OfficerJulieM: Please check before you donate! Give to charities you know and trust. Fake donation scams are common after tragedies htt,,,,, 
PILOTV2_010,kaikoura_earthquake_2016,"First earthquakes, now floods, whats next #eqnz #Wellington",,,,, 
PILOTV2_011,hurricane_harvey_2017,"Hey dumbass, these people LITERALLY have no homes.where else they gonna be?! #TrumpinTX #HurricaneHarvey",,,,, 
PILOTV2_012,california_wildfires_2018,California Fires - DEW - Directed Energy Weapons  via @twittercomWI_Chemtrails,,,,, 
PILOTV2_013,hurricane_harvey_2017,"Floods have killed a lot of hip hop history. Q-Tips record collection, RZAs Wu stuff in the mid 90s, now this",,,,, 
PILOTV2_014,cyclone_idai_2019,A friend @Carlmagwaza is looking for a truck to hire (unless you can offer for free) to send some stuff down to #chimanimani for the #CycloneIdai #chimanimanicyclone relief and assistance. Call on +263 77 278 3280 @fortunechasi @ShingiMunyeza @rabisonshumba,,,,, 
PILOTV2_015,hurricane_irma_2017,Dear friends! #hurricaneirma #hurricanehelp #volunteers #disasterrelief,,,,, 
PILOTV2_016,hurricane_maria_2017,"@HuffPost In fact, Teamsters are working on #PuertoRicoRelief, bringing volunteers in, but ground logistics remain a problem.",,,,, 
PILOTV2_017,hurricane_florence_2018,Breakdown on what to expect from #HurricaneFlorence . Can people also shout out groups to contribute to for immediate on the ground relief?,,,,, 
PILOTV2_018,hurricane_florence_2018,DXFD has two members leaving tomorrow morning for Raleigh NC as part of a swift water rescue team. Follow our account for live updates from this major rescue deployment. #DXFD #PCTRT,,,,, 
PILOTV2_019,hurricane_dorian_2019,"In a Burnsville warehouse more than 1,700 miles from Hurricane Dorians projected path, relief is already taking shape. |",,,,, 
PILOTV2_020,kerala_floods_2018,"Kerala needs your help NOW! Every single act towards helping the people of Kerala counts. Help with relief work,donations &amp; rebuilding thousands of lives. Always verify info before sharing/forwarding. You can help in more ways than one:",,,,, 
PILOTV2_021,cyclone_idai_2019,"This is 15 miles from the coast, but it has become an inland sea. @fergalkeane47 joined a helicopter flight over some of the worst-affected areas of Mozambique, where thousands are stranded by the flooding. More updates on #CycloneIdai ➡️",,,,, 
PILOTV2_022,hurricane_irma_2017,"BREAKING: @FhpOrlando I-75 may be shut down bc Santa Fe River, just NE of Gainesville, has risen 15ft due to Irma flooding in Jax. DETOUR:",,,,, 
PILOTV2_023,kerala_floods_2018,Is it true that the Modi govt has granted only Rs 600 crore to Kerala flood victims? Heres an reply to all those who are spreading misinformation on the Modi govt,,,,, 
PILOTV2_024,hurricane_irma_2017,"Jacksonville, FL area needs supply donations after Hurricane Irma. If you are anywhere nearby and able to donate:",,,,, 
PILOTV2_025,kerala_floods_2018,"As we unite to help our brothers and sisters in #Kerala, we must also unite to ensure that we protect ecosystems that keep us healthy, safe and secure. #KeralaFloods2018",,,,, 
PILOTV2_026,hurricane_maria_2017,News of the Day: Hurricane Maria Hits Puerto Rico With Record Floods #eventprofs #meetingprofs,,,,, 
PILOTV2_027,cyclone_idai_2019,Relieved to see our donations reached the intended recipients. This is heartwarming but much work remains @taylor_sherine @limited_united,,,,, 
PILOTV2_028,california_wildfires_2018,Death Toll Hits 56 In California’s Camp Fire As Officials Release List Of Unaccounted GII,,,,, 
PILOTV2_029,kerala_floods_2018,"To extend the flood relief contribution from Coir Board to the recent badly flood affected areas peoples in Kerala,Chairman C P Radhakrishnan gave one month salary and Coir Board officials one day salary of Rs 5 lakh handed over to Finance Minister Thomas Issac. #keralarelief",,,,, 
PILOTV2_030,hurricane_florence_2018,"Hurricane Florence has put thousands of residents into emergency mode in the Carolinas, whether it be evacuees or those who had to remain in place. As the disaster plays out, there are many others wondering how they can help.",,,,, 
PILOTV2_031,hurricane_dorian_2019,The only thing Dorian did damage to was to my wallet! #HurricaneDorian,,,,, 
PILOTV2_032,california_wildfires_2018,Yall do what you can to help these people that lost EVERYTHING. A fire wiped thru my 6 heavily wooded acres and took everything I owned including my animals when a fire like this ripped thru with no warning back in 2011 &amp; Im still paying for stuff that burned so hard to replace,,,,, 
PILOTV2_033,hurricane_maria_2017,@calderisima Visit  for details on our relief and recovery flights.,,,,, 
PILOTV2_034,canada_wildfires_2016,Another great story of Canadians reaching out to help eachother in a time of need!,,,,, 
PILOTV2_035,hurricane_harvey_2017,So impressed by @HHillsBeer (&amp; trust me I dont impress easily) Check out their event on 9/1 for Harvey relief:,,,,, 
PILOTV2_036,hurricane_dorian_2019,RT @deonjoelpolo: my country is being destroyed ἞7἟8Ὁ4,,,,, 
PILOTV2_037,canada_wildfires_2016,MANITOBA’S URBAN SEARCH AND RESCUE TEAMTO ASSIST ALBERTA WILDFIRE FIGHT The Manitoba Office of the Fire..,,,,, 
PILOTV2_038,hurricane_harvey_2017,Heres how #HurricaneHarveys unprecedented floods affected student housing properties.,,,,, 
PILOTV2_039,cyclone_idai_2019,"RT @povozim: Bridge destroyed by Cyclone Idai floods in Bikita, Masvingo #Zimbabwe #CycloneIdai #Bikita #Masvingo",,,,, 
PILOTV2_040,california_wildfires_2018,"Its disgusting that there are MAGA trolls who are seeking to gloat about the fires in California. A good number of those fires historically happen in places that vote red, for a start, and also, people are fucking dead from being *burned alive*. Wtf is wrong with you?",,,,, 
PILOTV2_041,cyclone_idai_2019,"὆4 126 people have been killed ⛺ 80,000 people displaced Cyclone Idai has affected over 1 million people. We are working with local partners in Malawi &amp; Zimbabwe to provide emergency assistance. Stand with us and donate:",,,,, 
PILOTV2_042,hurricane_harvey_2017,"Hey, Toledo! Help out the hurricane victims on Houston.. text HARVEY to 90999 on your cell and donate to the @RedCross",,,,, 
PILOTV2_043,canada_wildfires_2016,Wildfire contaminants could sully Fort McMurray water supply,,,,, 
PILOTV2_044,hurricane_irma_2017,New aerial images of #Irma impact areas of FL keys have been posted:,,,,, 
PILOTV2_045,hurricane_florence_2018,"Updates on Florence from over the weekend:| -18 dead, 750k without power -Its still goddamn raining -Rivers and creeks are still rising -Theres been at least one coal ash spill -pig manure lagoons appear OK for now more:",,,,, 
