review_priority,annotation_id,event,tweet_id,tweet_text,humaid_label,gpt4o_label,gpt4o_confidence,humaid_gpt4o_agree,researcher_first_pass,claude,gemini,grok,model_consensus_type,model_top_label,model_top_count,researcher_ambiguous,claude_ambiguous,gemini_ambiguous,grok_ambiguous,human_review_status,final_primary_label,review_action,review_notes
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0017,hurricane_dorian_2019,1168023989538525184,St. Lucie County to open shelters Sunday,other_relevant_information,displaced_people_and_evacuations,0.95,no,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,displaced_people_and_evacuations,4_of_4,displaced_people_and_evacuations,4,no,yes,no,yes,reviewed,displaced_people_and_evacuations,accepted,[batch_001] Opening shelters directly concerns accommodation of affected people.
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0019,hurricane_florence_2018,1041953890499878912,Someone tell me how I can help the pups affected by Hurricane Florence all the way in California!! #HurricanceFlorence #savethepuppies,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.85,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,yes,reviewed,rescue_volunteering_or_donation_effort,accepted,[batch_001] The speaker wants to provide help rather than requesting survival assistance as an affected person.
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0027,kerala_floods_2018,1033003828671643648,#Train18 to replace #ShatabdiExpress soon; #PV Sindhu on Forbes list of top 10 highest-paid #femaleathletes; #AirIndia seeks Rs 500 crore urgently to repay banks. Watch more in this episode of Business Wrap. #Kerala #floods #taxpayers @IndiaToday @aajtak,requests_or_urgent_needs,not_humanitarian,0.95,no,not_humanitarian,not_humanitarian,not_humanitarian,not_humanitarian,4_of_4,not_humanitarian,4,no,yes,no,no,reviewed,not_humanitarian,accepted,[batch_001] The primary intent is an unrelated business-news roundup; the flood hashtags are incidental.
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0028,canada_wildfires_2016,732246739659427840,Residents see first images of homes following Fort McMurray wildfire. #D16,other_relevant_information,infrastructure_and_utility_damage,0.85,no,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,infrastructure_and_utility_damage,4_of_4,infrastructure_and_utility_damage,4,no,no,no,yes,reviewed,other_relevant_information,changed,[batch_001] The visible text reports viewing homes after the wildfire but does not explicitly state that the homes were damaged.
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0031,kaikoura_earthquake_2016,798052551954493440,IMO none of the scientists I have heard today have provided adequate explanations of what is going on in this fault. /3 #EQNZ,not_humanitarian,not_humanitarian,0.95,yes,other_relevant_information,other_relevant_information,other_relevant_information,other_relevant_information,4_of_4,other_relevant_information,4,no,no,no,no,reviewed,other_relevant_information,accepted,"[batch_001] The tweet discusses the real earthquake and fault activity, so it is on-topic disaster information."
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0035,hurricane_dorian_2019,1167687427172921345,RT @POPinDC: HURRICANE DORIAN 7 States Within The Cone,other_relevant_information,other_relevant_information,0.8,yes,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,yes,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0043,hurricane_florence_2018,1039427842553958400,"Stay strong, east coast. Help each other and dont forget your pets food, water, dishes, medication and vaccine records. If you have time, grab a favorite bed, blanket or toy. Get to safety as soon as possible. #HurricaneFlorence",sympathy_and_support,caution_and_advice,0.95,no,caution_and_advice,caution_and_advice,caution_and_advice,caution_and_advice,4_of_4,caution_and_advice,4,no,no,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0044,canada_wildfires_2016,728644089319690240,RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.85,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,yes,no,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0055,cyclone_idai_2019,1106972736147079168,Lives have been lost &amp; more may be lost. My son just telling me two Jnr golfers from Chimanimani are missing; little boys he played golf with. Homes swept away &amp; people marooned. God help us! We need each other. Let’s pray for lives 2 b spared.And mobilize support #Cycloneidai,injured_or_dead_people,missing_or_found_people,0.7,no,missing_or_found_people,missing_or_found_people,missing_or_found_people,missing_or_found_people,4_of_4,missing_or_found_people,4,yes,yes,yes,yes,pending,,,
P1_unanimous_models_disagree_with_HumAID,AUDITV2_0056,canada_wildfires_2016,729070869084000260,Help is urgently needed! Donate to the @redcrosscanada Alberta Wildfire relief effort here:,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,no,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,4_of_4,rescue_volunteering_or_donation_effort,4,no,no,no,no,pending,,,
