annotation_id,primary_label,secondary_label,confidence,ambiguous,reason
PILOTV2_001,sympathy_and_support,,3,no,Prayers and good wishes for people affected by the earthquake.
PILOTV2_002,other_relevant_information,rescue_volunteering_or_donation_effort,1,yes,"Aid-benefit information is implied, but the tweet is too generic to identify a more specific intent."
PILOTV2_003,other_relevant_information,caution_and_advice,2,yes,Reports/queries about an ongoing tsunami threat without a clear instruction.
PILOTV2_004,other_relevant_information,infrastructure_and_utility_damage,2,yes,Official update about touring wildfire damage; no specific damage item is described.
PILOTV2_005,rescue_volunteering_or_donation_effort,,3,no,Organizes collection of water and non-perishable food for Puerto Rico.
PILOTV2_006,infrastructure_and_utility_damage,other_relevant_information,2,yes,"Says Puerto Rico was destroyed by Maria, indicating broad physical damage."
PILOTV2_007,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Calls on people to help rebuild Kerala and spread the appeal.
PILOTV2_008,displaced_people_and_evacuations,,3,no,Provides shelter information during Hurricane Dorian.
PILOTV2_009,caution_and_advice,,3,no,Explicitly advises people to verify charities and avoid donation scams.
PILOTV2_010,other_relevant_information,,3,no,"On-topic observation about successive earthquake/flood hazards, with no specific action."
PILOTV2_011,displaced_people_and_evacuations,infrastructure_and_utility_damage,2,yes,"Focuses on affected people having no homes, implying displacement after housing loss."
PILOTV2_012,not_humanitarian,,3,no,Conspiracy-style claim about directed-energy weapons rather than humanitarian information.
PILOTV2_013,not_humanitarian,,3,no,Uses flooding to discuss destroyed music collections/history rather than current humanitarian impact.
PILOTV2_014,rescue_volunteering_or_donation_effort,,3,no,Seeks transport to deliver relief supplies to Cyclone Idai-affected areas.
PILOTV2_015,rescue_volunteering_or_donation_effort,sympathy_and_support,1,yes,"Volunteer/disaster-relief hashtags suggest aid activity, but the text lacks a concrete action."
PILOTV2_016,rescue_volunteering_or_donation_effort,,3,no,Describes Teamsters bringing volunteers for Puerto Rico relief.
PILOTV2_017,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Asks for groups people can contribute to for immediate relief; also references what to expect.
PILOTV2_018,rescue_volunteering_or_donation_effort,,3,no,Reports deployment of a swift-water rescue team.
PILOTV2_019,rescue_volunteering_or_donation_effort,,3,no,Describes hurricane relief preparations taking shape in a warehouse.
PILOTV2_020,rescue_volunteering_or_donation_effort,caution_and_advice,3,no,"Direct call for relief work and donations, with an additional verification warning."
PILOTV2_021,other_relevant_information,displaced_people_and_evacuations,2,yes,"Reports severe flooding and thousands stranded, but not an explicit evacuation or request."
PILOTV2_022,caution_and_advice,infrastructure_and_utility_damage,2,yes,Warns of a possible interstate shutdown and gives a detour because of flooding.
PILOTV2_023,other_relevant_information,,3,no,On-topic factual/political information about government flood-relief funding.
PILOTV2_024,rescue_volunteering_or_donation_effort,,3,no,Directly asks for supply donations after Hurricane Irma.
PILOTV2_025,rescue_volunteering_or_donation_effort,sympathy_and_support,2,yes,"Calls for collective help after the floods, though the concrete action is broad."
