annotator,reference,label,support,precision,recall,f1
researcher_first_pass,HumAID,caution_and_advice,54,0.5416666666666666,0.7222222222222222,0.619047619047619
researcher_first_pass,HumAID,displaced_people_and_evacuations,54,0.6521739130434783,0.5555555555555556,0.6
researcher_first_pass,HumAID,infrastructure_and_utility_damage,55,0.5892857142857143,0.6,0.5945945945945946
researcher_first_pass,HumAID,injured_or_dead_people,53,0.7647058823529411,0.49056603773584906,0.5977011494252874
researcher_first_pass,HumAID,missing_or_found_people,11,0.5238095238095238,1.0,0.6875000000000001
researcher_first_pass,HumAID,not_humanitarian,55,0.36363636363636365,0.21818181818181817,0.27272727272727276
researcher_first_pass,HumAID,other_relevant_information,55,0.23076923076923078,0.21818181818181817,0.22429906542056074
researcher_first_pass,HumAID,requests_or_urgent_needs,55,0.5636363636363636,0.5636363636363636,0.5636363636363636
researcher_first_pass,HumAID,rescue_volunteering_or_donation_effort,54,0.45555555555555555,0.7592592592592593,0.5694444444444444
researcher_first_pass,HumAID,sympathy_and_support,54,0.5853658536585366,0.4444444444444444,0.5052631578947369
researcher_first_pass,GPT-4o,caution_and_advice,54,0.7083333333333334,0.9444444444444444,0.8095238095238096
researcher_first_pass,GPT-4o,displaced_people_and_evacuations,54,0.8478260869565217,0.7222222222222222,0.78
researcher_first_pass,GPT-4o,infrastructure_and_utility_damage,54,0.6964285714285714,0.7222222222222222,0.7090909090909091
researcher_first_pass,GPT-4o,injured_or_dead_people,54,0.8235294117647058,0.5185185185185185,0.6363636363636364
researcher_first_pass,GPT-4o,missing_or_found_people,14,0.6190476190476191,0.9285714285714286,0.742857142857143
researcher_first_pass,GPT-4o,not_humanitarian,54,0.36363636363636365,0.2222222222222222,0.27586206896551724
researcher_first_pass,GPT-4o,other_relevant_information,54,0.38461538461538464,0.37037037037037035,0.3773584905660377
researcher_first_pass,GPT-4o,requests_or_urgent_needs,54,0.7818181818181819,0.7962962962962963,0.7889908256880734
researcher_first_pass,GPT-4o,rescue_volunteering_or_donation_effort,54,0.5111111111111111,0.8518518518518519,0.6388888888888888
researcher_first_pass,GPT-4o,sympathy_and_support,54,0.7804878048780488,0.5925925925925926,0.6736842105263158
claude,HumAID,caution_and_advice,54,0.5074626865671642,0.6296296296296297,0.5619834710743802
claude,HumAID,displaced_people_and_evacuations,54,0.6216216216216216,0.42592592592592593,0.5054945054945055
claude,HumAID,infrastructure_and_utility_damage,55,0.5918367346938775,0.5272727272727272,0.5576923076923076
claude,HumAID,injured_or_dead_people,53,0.6470588235294118,0.6226415094339622,0.6346153846153846
claude,HumAID,missing_or_found_people,11,0.45,0.8181818181818182,0.5806451612903226
claude,HumAID,not_humanitarian,55,0.5882352941176471,0.18181818181818182,0.2777777777777778
claude,HumAID,other_relevant_information,55,0.25,0.4,0.3076923076923077
claude,HumAID,requests_or_urgent_needs,55,0.55,0.4,0.46315789473684216
claude,HumAID,rescue_volunteering_or_donation_effort,54,0.4056603773584906,0.7962962962962963,0.5375000000000001
