annotation_id,event,tweet_text,your_primary_label,your_secondary_label,confidence,ambiguous,notes
PILOT001,hurricane_maria_2017,The rate of response to hurricane damage in Puerto Rico ἟5἟7 vs Texas &amp; Floridathis is why they kneeled today.,,,,,
PILOT002,hurricane_maria_2017,"@radioambulante @jimmykimmel @Lin_Manuel FYI, numerous updates provided regularly on FEMA &amp; Coast Guard Twitter feeds. From Houston, we are praying for P.R.",,,,,
PILOT003,hurricane_maria_2017,"Think about this!! What happens to our vulnerable communities? Those in hospitals, our nursing homes, who have medical needs, etc? #MariaPR",,,,,
PILOT004,kerala_floods_2018,Kerala floods Update: A bigger concern for lives of keralites. #KeralaFloodRelief #KeralaFloodsRelief #sangosthi #sangosthinews #KeralaRescue #KeralaFloodsIsNationalDisaster,,,,,
PILOT005,california_wildfires_2018,They can and should go to a shelter! Then they should really I mean REALLY look into those fires!,,,,,
PILOT006,hurricane_irma_2017,"Hardee County Florida, in the path of #Irma. NO PETS ALLOWED IN SHELTERS. I would tweet my Senator but the Bitch blocked me. @FLGovScott",,,,,
PILOT007,kerala_floods_2018,The heavy rains hitting the popular tourist destination of Kerala in southern India have caused deadly floods and landslides. Keralas chief minister has described the situation as an unprecedented flood havoc.,,,,,
PILOT008,kerala_floods_2018,"@GoaFront in association with JCI Sanquelim,organized a Candle Light March at Sanquelim for fund collection in the aid of Kerala Chief Ministers Distress Relief Fund. #GoaMining #KeralaFloodRelief @goacm @PMOIndia @DrPramodSawant2 @BJP4India @BJP4Goa @mygovindia @TendulkarBJP",,,,,
PILOT009,canada_wildfires_2016,"RT @Silvabee: #FortMcMurray wildfire map interactive with evacs, industry and relief updates. @NoathingSpecial @solojo007",,,,,
PILOT010,canada_wildfires_2016,#FortMacFire evacuees - financial assistance available whether you are in #Alberta or elsewhere:  #nlpoli #ymmfire,,,,,
PILOT011,hurricane_dorian_2019,8 a.m SUNDAY UPDATE on #HurricaneDorian Berkeley County leaders and emergency preparedness staff will meet this morning to discuss preparations. Berkeley County is operating at OPCON 2 as of 1 p.m. yesterday. More info&gt;&gt;  #BerkeleyCounty #OneBerkeley,,,,,
PILOT012,hurricane_harvey_2017,"LoanLogics: 400,000 homes in the path of Hurricane Harvey. 80% did NOT have flood insurance. Read MarketLogics for",,,,,
PILOT013,hurricane_harvey_2017,.@oskarblues stops producing beer to can drinking water for Texas victims impacted by Hurricane #Harvey,,,,,
