annotation_id,event,tweet_text,primary_label,secondary_label,confidence,ambiguous,reason
AUDITV2_0001,kerala_floods_2018,"@RanaAyyub Undoubtedly, if true #Hinduism has survived, its in #Kerala - Gods Own Country. Where #Hindus openly welcomed #Muslims into their #Temples to offer their #Prayers, and Muslims gave #shelter to numerous #Hindu_families in their #Mosques during recent #floods in the State.",,,,,
AUDITV2_0002,cyclone_idai_2019,Every death from a predictable disaster like a cyclone that was known weeks in advance is a terrible indictment of our leadership. And just how did we end up with a higher death toll than Mozambique where the cyclone affected densely populated areas and also hit hardest?,,,,,
AUDITV2_0003,hurricane_maria_2017,"Listen: Locals Describe Hurricane Maria’s Damage in Dominica - With no power, phones or internet, Dominica",,,,,
AUDITV2_0004,kaikoura_earthquake_2016,Military planes and ships sent to quake-affected areas  #eqnz,,,,,
AUDITV2_0005,hurricane_florence_2018,"We have the power to prevent tragedy and strengthen communities. Send much-needed supplies before UPS, FedEx &amp; USPS stop delivering to the Carolinas:  #hurricaneflorence #buildmaroonage @msbritt_305",,,,,
AUDITV2_0006,kaikoura_earthquake_2016,Didnt feel it. Thoughts with those who were affected #eqnz,,,,,
AUDITV2_0007,hurricane_florence_2018,"What do you expect, same thing with Puerto rico! where almost 3,000 people died because they have brown skin! Not worthy for him!",,,,,
AUDITV2_0008,canada_wildfires_2016,That is terrible. We need help to contain and stop the fire from spreading.,,,,,
AUDITV2_0009,hurricane_florence_2018,The Hurricanes Hunter crews of @NOAA_HurrHunter and USAF @53rdWRS are true American heroes ἟A἟8. They fly into dangerous hurricanes to collect critical data that are used to help forecasters support emergency managers in making life-saving decisions in advance of landfall✈️ἰ0,,,,,
AUDITV2_0010,hurricane_harvey_2017,"Hey guys, Ive lost everything in #HurricaneHarvey and need help, please spread and donate if you can",,,,,
AUDITV2_0011,kaikoura_earthquake_2016,"Aftershocks coming thick and fast. Havent felt anything here in Dunedin, yet. #eqnz",,,,,
AUDITV2_0012,kerala_floods_2018,"Dear Sir @CMOKerala @vijayanpinarayi @chennithala We never got advance warning of flooding in our colony in #Kochi. Our calls to local councillor were met with the reply - nothing to worry. Finally, when flood waters rose at night, we evacuated our homes. #KeralaFloods #Kerala",,,,,
AUDITV2_0013,hurricane_harvey_2017,"Historic flooding, rising death toll, homes decimated and some wanker decides its a good time to induce racial hostilities.",,,,,
AUDITV2_0014,hurricane_florence_2018,its saving the paper towels for hurricane Florence aid. A whole case of them!,,,,,
AUDITV2_0015,cyclone_idai_2019,"God, I hope the people in need are getting the aid being delivered, I want to trust my people #CycloneIdai",,,,,
AUDITV2_0016,cyclone_idai_2019,Dear Zimbabwean political cheerleaders squads. When donations come they are for victims of #CycloneIdai. They have nothing to do with your useless political parties. Stop bragging about your politicians role in sourcing any donations. Munonyadzisa manhi. Dzidzai kunyarara.,,,,,
AUDITV2_0017,hurricane_dorian_2019,St. Lucie County to open shelters Sunday,,,,,
AUDITV2_0018,canada_wildfires_2016,"RT @Norm_Farrell: Instead of $10B for F-35s, spend for a large fleet of Canadian water bombers. #cdnpoli  .",,,,,
AUDITV2_0019,hurricane_florence_2018,Someone tell me how I can help the pups affected by Hurricane Florence all the way in California!! #HurricanceFlorence #savethepuppies,,,,,
AUDITV2_0020,hurricane_irma_2017,"In #Haiti #Irma comes on heels of 3 yrs of drought, #HurricaneMatthew, compounding food insecurity, #displacement",,,,,
AUDITV2_0021,kaikoura_earthquake_2016,Pls help our furry friends #eqnz,,,,,
AUDITV2_0022,hurricane_dorian_2019,"The Great Labor Day Hurricane of 1935 killed about 500 people, among them were 259 World War I vets who were constructing the Overseas Highway and residing in government camps.",,,,,
AUDITV2_0023,canada_wildfires_2016,RT @FVine: Calgary Construction Association #CCAbuilds is donating $100k from our Building Reserve Fund to Fort McMurray Wildfire relief #y,,,,,
AUDITV2_0024,california_wildfires_2018,"#California citizens have been DEVASTATED with horrific fires for to long and has DISPLACED thousands and killed 100s ὤF ,,lets hope and pray this will end soon many are in DESPERATE need of assistance and support.. @ITALYFORRTRUMP ὤF Many AMERICANS are feeling your pain ἟A἟8⚘἟A἟8",,,,,
AUDITV2_0025,cyclone_idai_2019,"almost shed tears, This thing of Zanufizing every thing must stop. it happened in 2008 in Bikita, people died of hunger now its the same story. If we continue in this path, more people will die. For how long shall we continue to b silenced by this murderous regimeὢ2ὢD",,,,,
