annotation_id,annotation_owner,annotation_method,human_reviewer,human_review_status,final_primary_label,review_action,review_notes
AUDITV2_0001,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0002,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0003,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0004,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0005,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0006,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0007,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0008,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0009,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0010,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0011,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0012,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0013,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0014,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0015,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0016,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0017,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0018,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0019,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0020,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0021,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0022,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0023,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0024,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0025,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0026,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0027,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0028,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0029,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0030,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0031,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0032,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0033,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0034,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
AUDITV2_0035,Khagendra01,AI-assisted first pass under researcher direction,Khagendra01,pending,,,
