batch_id,annotation_id,review_priority,event,tweet_text,humaid_label,gpt4o_label,model_top_label,final_primary_label,review_action,review_notes,researcher_confirmation,confirmation_date_utc
batch_002,AUDITV2_0035,P1_unanimous_models_disagree_with_HumAID,hurricane_dorian_2019,RT @POPinDC: HURRICANE DORIAN 7 States Within The Cone,other_relevant_information,other_relevant_information,caution_and_advice,other_relevant_information,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0043,P1_unanimous_models_disagree_with_HumAID,hurricane_florence_2018,"Stay strong, east coast. Help each other and dont forget your pets food, water, dishes, medication and vaccine records. If you have time, grab a favorite bed, blanket or toy. Get to safety as soon as possible. #HurricaneFlorence",sympathy_and_support,caution_and_advice,caution_and_advice,sympathy_and_support,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0044,P1_unanimous_models_disagree_with_HumAID,canada_wildfires_2016,RT @AVGivesBack: #AVtweeps Wildfire is threatening Fort McMurray communities in Alberta Canada Please help.#FortMacFire #AVGivesBack :,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0055,P1_unanimous_models_disagree_with_HumAID,cyclone_idai_2019,Lives have been lost &amp; more may be lost. My son just telling me two Jnr golfers from Chimanimani are missing; little boys he played golf with. Homes swept away &amp; people marooned. God help us! We need each other. Let’s pray for lives 2 b spared.And mobilize support #Cycloneidai,injured_or_dead_people,missing_or_found_people,missing_or_found_people,missing_or_found_people,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0056,P1_unanimous_models_disagree_with_HumAID,canada_wildfires_2016,Help is urgently needed! Donate to the @redcrosscanada Alberta Wildfire relief effort here:,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0057,P1_unanimous_models_disagree_with_HumAID,hurricane_maria_2017,Airmen assess #HurricaneMaria damage at Muniz Air National Guard Base in #PuertoRico and #evacuate civilians.,infrastructure_and_utility_damage,displaced_people_and_evacuations,displaced_people_and_evacuations,infrastructure_and_utility_damage,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0066,P1_unanimous_models_disagree_with_HumAID,california_wildfires_2018,"In recent days, Trump has threatened to cut off federal aid to California and Puerto Rico. We have 5,600 troops at the border without a mission and missing T-giving for his manufactured crisis, and a VA glitch means veterans haven’t been paid in months.",not_humanitarian,not_humanitarian,other_relevant_information,not_humanitarian,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0076,P1_unanimous_models_disagree_with_HumAID,hurricane_harvey_2017,"Update from Middlebrook #ClearLake TX: rain, some wind gusts, still have power, no flooding. #HurricaneHarvey #weather #HarveyStorm",caution_and_advice,other_relevant_information,other_relevant_information,other_relevant_information,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0079,P1_unanimous_models_disagree_with_HumAID,kerala_floods_2018,As per Mr.Saji cherian #Chengannur MLA. Kaki dam is releasing more water. So peoples in chengannur kindly move to safe place. #KeralaFloodRelief #KeralaSOS,other_relevant_information,caution_and_advice,caution_and_advice,caution_and_advice,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0090,P1_unanimous_models_disagree_with_HumAID,hurricane_irma_2017,"Clay County District Schools and District offices will remain closed on Wednesday, September 13th, due to #HurricaneIrma damage.",other_relevant_information,infrastructure_and_utility_damage,infrastructure_and_utility_damage,other_relevant_information,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0098,P1_unanimous_models_disagree_with_HumAID,canada_wildfires_2016,"In the midst of tragedy, how wonderful it is to see the compassion extended toward wildfire victims and evacuees.",displaced_people_and_evacuations,sympathy_and_support,sympathy_and_support,sympathy_and_support,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0106,P1_unanimous_models_disagree_with_HumAID,kaikoura_earthquake_2016,RT @1NewsNZ: People turn to social media for help as tourists are caught up in earthquake.,other_relevant_information,requests_or_urgent_needs,requests_or_urgent_needs,other_relevant_information,changed,,approve batch 2,2026-08-31
batch_002,AUDITV2_0113,P1_unanimous_models_disagree_with_HumAID,hurricane_maria_2017,"Recovering from #HurricaneMaria, a few tips and links to resources to help make the task less burdensome:  #hurricane",sympathy_and_support,caution_and_advice,caution_and_advice,caution_and_advice,accepted,,approve batch 2,2026-08-31
batch_002,AUDITV2_0125,P1_unanimous_models_disagree_with_HumAID,hurricane_florence_2018,RT CHellerTVNews: .LACOFD asking for all swift water response team members to report for possibly deployment out east. #HurricaneFlorence,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,other_relevant_information,changed,,approve batch 2,2026-08-31
