event,annotator,n,agreement_with_humaid,agreement_with_gpt4o,humaid_gpt4o_agreement
california_wildfires_2018,researcher_first_pass,50,0.5,0.58,0.5
california_wildfires_2018,claude,50,0.48,0.56,0.5
california_wildfires_2018,gemini,50,0.5,0.56,0.5
california_wildfires_2018,grok,50,0.5,0.46,0.5
canada_wildfires_2016,researcher_first_pass,50,0.54,0.64,0.5
canada_wildfires_2016,claude,50,0.46,0.58,0.5
canada_wildfires_2016,gemini,50,0.48,0.62,0.5
canada_wildfires_2016,grok,50,0.6,0.7,0.5
cyclone_idai_2019,researcher_first_pass,50,0.52,0.64,0.5
cyclone_idai_2019,claude,50,0.34,0.64,0.5
cyclone_idai_2019,gemini,50,0.52,0.6,0.5
cyclone_idai_2019,grok,50,0.38,0.6,0.5
hurricane_dorian_2019,researcher_first_pass,50,0.48,0.6,0.5
hurricane_dorian_2019,claude,50,0.42,0.54,0.5
hurricane_dorian_2019,gemini,50,0.56,0.56,0.5
hurricane_dorian_2019,grok,50,0.46,0.58,0.5
hurricane_florence_2018,researcher_first_pass,50,0.58,0.62,0.5
hurricane_florence_2018,claude,50,0.52,0.68,0.5
hurricane_florence_2018,gemini,50,0.52,0.68,0.5
hurricane_florence_2018,grok,50,0.56,0.66,0.5
hurricane_harvey_2017,researcher_first_pass,50,0.56,0.7,0.5
hurricane_harvey_2017,claude,50,0.54,0.66,0.5
hurricane_harvey_2017,gemini,50,0.5,0.74,0.5
hurricane_harvey_2017,grok,50,0.58,0.76,0.5
hurricane_irma_2017,researcher_first_pass,50,0.48,0.64,0.5
hurricane_irma_2017,claude,50,0.6,0.64,0.5
hurricane_irma_2017,gemini,50,0.56,0.64,0.5
hurricane_irma_2017,grok,50,0.6,0.66,0.5
hurricane_maria_2017,researcher_first_pass,50,0.48,0.62,0.5
hurricane_maria_2017,claude,50,0.46,0.52,0.5
hurricane_maria_2017,gemini,50,0.5,0.58,0.5
hurricane_maria_2017,grok,50,0.56,0.6,0.5
kaikoura_earthquake_2016,researcher_first_pass,50,0.58,0.82,0.5
kaikoura_earthquake_2016,claude,50,0.54,0.74,0.5
kaikoura_earthquake_2016,gemini,50,0.54,0.7,0.5
kaikoura_earthquake_2016,grok,50,0.56,0.74,0.5
kerala_floods_2018,researcher_first_pass,50,0.46,0.6,0.5
kerala_floods_2018,claude,50,0.48,0.62,0.5
kerala_floods_2018,gemini,50,0.5,0.56,0.5
kerala_floods_2018,grok,50,0.5,0.6,0.5
