annotation_id,event,tweet_id,tweet_text,humaid_label,gpt4o_label,gpt4o_confidence,humaid_gpt4o_agree,researcher_first_pass_primary,researcher_first_pass_secondary,researcher_first_pass_confidence,researcher_first_pass_ambiguous,researcher_first_pass_reason,claude_primary,claude_secondary,claude_confidence,claude_ambiguous,claude_reason,gemini_primary,gemini_secondary,gemini_confidence,gemini_ambiguous,gemini_reason,grok_primary,grok_secondary,grok_confidence,grok_ambiguous,grok_reason
AUDITV2_0001,kerala_floods_2018,1033385474130407424,"@RanaAyyub Undoubtedly, if true #Hinduism has survived, its in #Kerala - Gods Own Country. Where #Hindus openly welcomed #Muslims into their #Temples to offer their #Prayers, and Muslims gave #shelter to numerous #Hindu_families in their #Mosques during recent #floods in the State.",sympathy_and_support,displaced_people_and_evacuations,0.85,no,sympathy_and_support,displaced_people_and_evacuations,2,yes,"Highlights interfaith sheltering during floods, framed mainly as solidarity.",displaced_people_and_evacuations,other_relevant_information,2,yes,"Describes Muslims sheltering Hindu families during floods, framed as interfaith-harmony commentary.",displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,2,yes,Highlights interfaith community sheltering and accommodation of displaced flood-affected families.,other_relevant_information,sympathy_and_support,2,yes,Describes interfaith sheltering and welcome during Kerala floods as positive example.
AUDITV2_0004,kaikoura_earthquake_2016,798308294020317185,Military planes and ships sent to quake-affected areas  #eqnz,rescue_volunteering_or_donation_effort,other_relevant_information,0.85,no,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,Military assets are being deployed to quake-affected areas.,rescue_volunteering_or_donation_effort,,3,no,Reports military planes/ships sent to earthquake-affected areas.,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,Reports military deployment of planes and ships to assist earthquake-affected areas.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Military planes and ships sent to quake-affected areas as response.
AUDITV2_0005,hurricane_florence_2018,1039546405709377537,"We have the power to prevent tragedy and strengthen communities. Send much-needed supplies before UPS, FedEx &amp; USPS stop delivering to the Carolinas:  #hurricaneflorence #buildmaroonage @msbritt_305",rescue_volunteering_or_donation_effort,requests_or_urgent_needs,0.9,no,rescue_volunteering_or_donation_effort,caution_and_advice,3,no,Direct appeal to send supplies before deliveries stop.,rescue_volunteering_or_donation_effort,,3,no,Calls for sending supplies before couriers stop delivering to storm area.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,no,Urges the public to send needed relief supplies to affected communities.,rescue_volunteering_or_donation_effort,,3,no,Call to send much-needed supplies before carriers stop delivering.
AUDITV2_0009,hurricane_florence_2018,1039879259815403522,The Hurricanes Hunter crews of @NOAA_HurrHunter and USAF @53rdWRS are true American heroes ἟A἟8. They fly into dangerous hurricanes to collect critical data that are used to help forecasters support emergency managers in making life-saving decisions in advance of landfall✈️ἰ0,other_relevant_information,other_relevant_information,0.85,yes,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Describes hurricane-hunter operational support used for lifesaving decisions.,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Praises hurricane hunter crews collecting forecast data for emergency managers.,sympathy_and_support,other_relevant_information,2,yes,Praises hurricane hunter crews as heroes for gathering life-saving storm data.,other_relevant_information,sympathy_and_support,2,yes,Praises hurricane hunter crews for data supporting life-saving decisions.
AUDITV2_0010,hurricane_harvey_2017,902702713716269056,"Hey guys, Ive lost everything in #HurricaneHarvey and need help, please spread and donate if you can",requests_or_urgent_needs,requests_or_urgent_needs,0.95,yes,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,3,no,Affected person says they lost everything and directly asks for help.,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Personal victim reports losing everything and asks for help/donations.,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Individual who lost everything in the hurricane appeals for donations and aid.,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Lost everything and needs help please spread and donate.
AUDITV2_0013,hurricane_harvey_2017,902854736847757313,"Historic flooding, rising death toll, homes decimated and some wanker decides its a good time to induce racial hostilities.",injured_or_dead_people,infrastructure_and_utility_damage,0.8,no,injured_or_dead_people,infrastructure_and_utility_damage,2,yes,Mentions a rising death toll amid severe flood damage.,injured_or_dead_people,infrastructure_and_utility_damage,1,yes,"Mixed impact summary (flooding, death toll, homes) amid a political complaint.",injured_or_dead_people,infrastructure_and_utility_damage,2,yes,Highlights rising death tolls and decimated homes while criticizing racial remarks.,injured_or_dead_people,other_relevant_information,2,yes,Mentions rising death toll and homes decimated with critique of racial hostilities.
AUDITV2_0014,hurricane_florence_2018,1039532484021690368,its saving the paper towels for hurricane Florence aid. A whole case of them!,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,yes,not_humanitarian,,2,yes,Sarcastic political reference to paper towels rather than a concrete aid action.,rescue_volunteering_or_donation_effort,,3,no,Saving paper towels specifically for hurricane aid donation.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Mentions saving and preparing cases of paper towels for hurricane relief.,rescue_volunteering_or_donation_effort,,3,no,Saving paper towels for hurricane Florence aid.
AUDITV2_0015,cyclone_idai_2019,1108687775795200000,"God, I hope the people in need are getting the aid being delivered, I want to trust my people #CycloneIdai",requests_or_urgent_needs,sympathy_and_support,0.8,no,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,Expresses hope that delivered aid reaches people in need.,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,"Expresses hope that aid is reaching people in need, no concrete action by author.",rescue_volunteering_or_donation_effort,sympathy_and_support,2,yes,Expresses hope and concern that delivered humanitarian aid reaches cyclone victims.,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,Hopes people in need are getting the aid being delivered.
AUDITV2_0016,cyclone_idai_2019,1108323952844328961,Dear Zimbabwean political cheerleaders squads. When donations come they are for victims of #CycloneIdai. They have nothing to do with your useless political parties. Stop bragging about your politicians role in sourcing any donations. Munonyadzisa manhi. Dzidzai kunyarara.,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,yes,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,Discusses donations intended for Cyclone Idai victims.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Commentary on proper handling of cyclone donations vs political misuse.,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Discusses donations for cyclone victims while criticizing political party claims.,other_relevant_information,,3,no,Criticizes politicizing donations for Cyclone Idai victims.
AUDITV2_0017,hurricane_dorian_2019,1168023989538525184,St. Lucie County to open shelters Sunday,other_relevant_information,displaced_people_and_evacuations,0.95,no,displaced_people_and_evacuations,,3,no,Reports that hurricane shelters will open.,displaced_people_and_evacuations,caution_and_advice,2,yes,Announces county opening shelters ahead of the storm.,displaced_people_and_evacuations,caution_and_advice,3,no,Announces the planned opening of emergency hurricane shelters in the county.,displaced_people_and_evacuations,caution_and_advice,2,yes,St. Lucie County to open shelters Sunday.
