annotation_id,assistant_primary_label,assistant_secondary_label,assistant_confidence_1to3,assistant_ambiguous,assistant_notes
AUDIT0001,caution_and_advice,other_relevant_information,2,Yes,Disease-risk warning with prevention framing.
AUDIT0002,other_relevant_information,rescue_volunteering_or_donation_effort,2,Yes,Mentions a rescue as a news story rather than organizing aid.
AUDIT0003,other_relevant_information,,3,No,Fire-size context/map comparison.
AUDIT0004,rescue_volunteering_or_donation_effort,other_relevant_information,3,No,Firefighters actively battling the wildfire.
AUDIT0005,rescue_volunteering_or_donation_effort,,3,No,Pilots plan to deliver supplies.
AUDIT0006,displaced_people_and_evacuations,caution_and_advice,3,No,Evacuation alerts being lifted.
AUDIT0007,other_relevant_information,infrastructure_and_utility_damage,2,Yes,Economic/production impact rather than direct utility damage.
AUDIT0008,requests_or_urgent_needs,other_relevant_information,2,Yes,"Scarcity of gas, water, groceries during preparation."
AUDIT0009,injured_or_dead_people,missing_or_found_people,3,Yes,Both mass-grave deaths and 60 missing.
AUDIT0010,caution_and_advice,,3,No,Explicit flood do/don't guidance.
AUDIT0011,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Relief support call.
AUDIT0012,other_relevant_information,infrastructure_and_utility_damage,2,Yes,Forecast discussion plus local flooding said unrelated.
AUDIT0013,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Offers assistance to affected musicians.
AUDIT0014,injured_or_dead_people,,3,No,Reports a suicide linked to flood loss.
AUDIT0015,requests_or_urgent_needs,,3,No,People stuck with rising water explicitly ask for rescue.
AUDIT0016,other_relevant_information,,3,No,Storm-size visual/context.
AUDIT0017,sympathy_and_support,,3,No,Emotional support and solidarity.
AUDIT0018,infrastructure_and_utility_damage,sympathy_and_support,2,Yes,Widespread destruction is the concrete information.
AUDIT0019,other_relevant_information,,3,No,Official visit to survey damage.
AUDIT0020,not_humanitarian,,3,No,"Generic political/mental-health commentary, no crisis aid information."
AUDIT0021,caution_and_advice,,3,No,Instructions for returning home after floods.
AUDIT0022,sympathy_and_support,,3,No,Prayer for people and responders.
AUDIT0023,not_humanitarian,other_relevant_information,2,Yes,Primarily political rhetoric using wildfire context.
AUDIT0024,injured_or_dead_people,displaced_people_and_evacuations,3,Yes,Deaths foregrounded; also large-scale stranding/displacement.
AUDIT0025,other_relevant_information,,2,No,Post-event discussion of confusion.
AUDIT0026,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,2,Yes,Organization supporting evacuated people.
AUDIT0027,caution_and_advice,sympathy_and_support,3,No,Stay-safe message with shelter information.
AUDIT0028,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Call to support recovery/humanitarian aid.
AUDIT0029,infrastructure_and_utility_damage,other_relevant_information,2,Yes,Assessment of storm damage.
AUDIT0030,not_humanitarian,,2,No,"Hypothetical/ideological scenario, not an actual crisis update."
AUDIT0031,rescue_volunteering_or_donation_effort,,3,No,Collecting food and cleaning-supply donations.
AUDIT0032,missing_or_found_people,displaced_people_and_evacuations,3,Yes,Separated children/missing people plus camps.
AUDIT0033,caution_and_advice,other_relevant_information,3,No,Official tropical-storm warning and hazard bulletin.
AUDIT0034,other_relevant_information,,3,No,Climate-change interpretation of flooding.
AUDIT0035,caution_and_advice,infrastructure_and_utility_damage,3,No,Explicit water-conservation/use guidance.
AUDIT0036,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,Yes,Animal shelter explicitly needs help.
AUDIT0037,not_humanitarian,,3,No,Unrelated personal homelessness request in Seoul.
AUDIT0038,rescue_volunteering_or_donation_effort,other_relevant_information,3,No,Financial aid offered for flood response.
AUDIT0039,requests_or_urgent_needs,,3,No,Affected town explicitly needs help.
AUDIT0040,infrastructure_and_utility_damage,,3,No,Significant physical damage to a center.
AUDIT0041,infrastructure_and_utility_damage,other_relevant_information,3,No,Reports local flooding.
AUDIT0042,rescue_volunteering_or_donation_effort,,3,No,Relief efforts bringing needed help.
AUDIT0043,displaced_people_and_evacuations,not_humanitarian,2,Yes,Concrete fire homelessness embedded in political rhetoric.
AUDIT0044,infrastructure_and_utility_damage,displaced_people_and_evacuations,3,No,Communications down and failing dam.
AUDIT0045,caution_and_advice,,3,No,Food-safety guide after power/flood damage.
AUDIT0046,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,No,Donation appeal for wildfire relief.
AUDIT0047,rescue_volunteering_or_donation_effort,,3,No,Call to support affected people.
AUDIT0048,not_humanitarian,,2,Yes,Donation message lacks a clear disaster/humanitarian link.
AUDIT0049,other_relevant_information,injured_or_dead_people,2,Yes,Current-storm tracking uses historical fatality context.
AUDIT0050,rescue_volunteering_or_donation_effort,sympathy_and_support,2,No,Praises selfless flood-response service.
AUDIT0051,injured_or_dead_people,displaced_people_and_evacuations,3,Yes,Reports deaths and displaced families.
AUDIT0052,not_humanitarian,other_relevant_information,2,Yes,"Technical app query, not humanitarian information."
AUDIT0053,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,3,No,Displaced foster children sheltered in a home.
AUDIT0054,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,Yes,Points readers to a way to help desperate victims.
AUDIT0055,rescue_volunteering_or_donation_effort,,3,No,Rescue team joining earthquake response.
AUDIT0056,sympathy_and_support,rescue_volunteering_or_donation_effort,3,No,Prayers and charity references; prayer is primary.
AUDIT0057,infrastructure_and_utility_damage,caution_and_advice,3,Yes,Water-supply shutdown due contamination plus warning.
AUDIT0058,caution_and_advice,,3,No,Food-poisoning prevention instruction.
AUDIT0059,rescue_volunteering_or_donation_effort,sympathy_and_support,3,No,Donation call while expressing support for responders.
AUDIT0060,other_relevant_information,,3,No,Policy/legal analysis of flood aftermath.
AUDIT0061,displaced_people_and_evacuations,,3,No,Families forced to live in a cemetery after floods.
AUDIT0062,other_relevant_information,infrastructure_and_utility_damage,2,No,Leader traveling to assess damage.
AUDIT0063,sympathy_and_support,infrastructure_and_utility_damage,2,Yes,Emotional framing of widespread destruction.
AUDIT0064,not_humanitarian,,3,No,Political attack about presidential visit.
AUDIT0065,other_relevant_information,not_humanitarian,2,Yes,Disaster-aid distribution allegation in political framing.
