annotation_id,primary_label,secondary_label,confidence,ambiguous,reason
AUDITV2_0001,displaced_people_and_evacuations,rescue_volunteering_or_donation_effort,2,yes,Highlights interfaith community sheltering and accommodation of displaced flood-affected families.
AUDITV2_0002,injured_or_dead_people,other_relevant_information,2,yes,Discusses cyclone fatalities and compares death tolls between affected regions.
AUDITV2_0003,infrastructure_and_utility_damage,other_relevant_information,3,no,"Reports hurricane damage causing complete loss of power, phone, and internet utilities."
AUDITV2_0004,rescue_volunteering_or_donation_effort,other_relevant_information,3,no,Reports military deployment of planes and ships to assist earthquake-affected areas.
AUDITV2_0005,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,3,no,Urges the public to send needed relief supplies to affected communities.
AUDITV2_0006,sympathy_and_support,,3,no,Expresses thoughts and emotional solidarity with those affected by the earthquake.
AUDITV2_0007,injured_or_dead_people,other_relevant_information,2,yes,References the disaster death toll of nearly 3000 people in Puerto Rico.
AUDITV2_0008,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Pleads for urgent help and resources to contain and stop spreading wildfire.
AUDITV2_0009,sympathy_and_support,other_relevant_information,2,yes,Praises hurricane hunter crews as heroes for gathering life-saving storm data.
AUDITV2_0010,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Individual who lost everything in the hurricane appeals for donations and aid.
AUDITV2_0011,other_relevant_information,,3,no,Reports local observations regarding earthquake aftershock activity.
AUDITV2_0012,displaced_people_and_evacuations,caution_and_advice,2,yes,Reports night-time residential evacuation due to flood waters and lack of warning.
AUDITV2_0013,injured_or_dead_people,infrastructure_and_utility_damage,2,yes,Highlights rising death tolls and decimated homes while criticizing racial remarks.
AUDITV2_0014,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Mentions saving and preparing cases of paper towels for hurricane relief.
AUDITV2_0015,rescue_volunteering_or_donation_effort,sympathy_and_support,2,yes,Expresses hope and concern that delivered humanitarian aid reaches cyclone victims.
AUDITV2_0016,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Discusses donations for cyclone victims while criticizing political party claims.
AUDITV2_0017,displaced_people_and_evacuations,caution_and_advice,3,no,Announces the planned opening of emergency hurricane shelters in the county.
AUDITV2_0018,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Advocates for government spending on firefighting water bombers rather than military jets.
AUDITV2_0019,rescue_volunteering_or_donation_effort,sympathy_and_support,3,no,Inquires how to volunteer or provide aid for animals affected by the hurricane.
AUDITV2_0020,displaced_people_and_evacuations,requests_or_urgent_needs,2,yes,Highlights worsening displacement and food insecurity across Haiti following drought and hurricane.
AUDITV2_0021,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Appeals for help and rescue assistance for pets affected by earthquake.
AUDITV2_0022,injured_or_dead_people,other_relevant_information,3,no,Historical comparison citing 500 fatalities from the 1935 Labor Day hurricane.
