annotation_id,event,tweet_id,tweet_text,original_human_label,gpt4o_label,gpt4o_confidence,sampling_group,confidence_band
AUDIT0001,cyclone_idai_2019,1112618987785994240,"Reports of waterborne diseases in Mozambique after Cyclone Idai are worrying. We need to ensure that water borne diseases do not affect the already mourning victims, it will be a double strategy.Prevention is better than cure.",caution_and_advice,caution_and_advice,0.85,agree,medium
AUDIT0002,kaikoura_earthquake_2016,798816763869687808,The cow rescue may well be the most iconic story out of all the other earthquake news ὤ8ὠ2,rescue_volunteering_or_donation_effort,not_humanitarian,0.95,disagree,high
AUDIT0003,california_wildfires_2018,1064931947179376640,To help put in perspective the Camp Fire in California is 223 square miles. This map is what it would look like if that fire was here in Foxborough. Foxborough is approximately 20sq miles.,other_relevant_information,other_relevant_information,0.8,agree,medium
AUDIT0004,california_wildfires_2018,1064105680661934080,"Roughly 200 of Californias firefighters are currently incarcerated, earning $2/day while they battle wildfires raging across the state. But that job wont be open to them once theyre released from prison.",rescue_volunteering_or_donation_effort,other_relevant_information,0.8,disagree,medium
AUDIT0005,hurricane_irma_2017,908453567366926336,Local pilots plan to fly to Key West with supplies after Irma; @LindsayLogueTV reports.,other_relevant_information,rescue_volunteering_or_donation_effort,0.95,disagree,high
AUDIT0006,canada_wildfires_2016,734084401294770177,"RT @AHNnewspaper: Rain and snow persist as evacuation alerts lifted in wildfire areas, @mpreprost reports. #yxj #BCwildfire #weather :",displaced_people_and_evacuations,displaced_people_and_evacuations,0.9,agree,high
AUDIT0007,canada_wildfires_2016,729234013433544704,RT @DaddyBearForex: @DaddyBearForex #Alberta #wildfires damage to #oil production can be calculated but new #Saudi #energy ministers imp,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.85,agree,medium
AUDIT0008,hurricane_florence_2018,1039532889623408640,"I am right in the main path of this storm. I cant lie, Im nervous! Gas stations are out of gas, bottled water and groceries are scarce. Doing what I can to prepare. Prayers appreciated! #Florence",sympathy_and_support,caution_and_advice,0.7,disagree,medium
AUDIT0009,cyclone_idai_2019,1110600822239518722,"#Idai victims buried in mass grave in Sussundenga, at least 60 missing – #Mozambique  #CycloneIdai #CicloneIdai",missing_or_found_people,injured_or_dead_people,0.9,disagree,high
AUDIT0010,kerala_floods_2018,1031020565828521985,RT @AkashvaniAIR: ATTENTION! Here are some IMPORTANT DOs and DONTs during #Floods #KeralaFloods,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0011,hurricane_irma_2017,909280581183311872,Support for Hurricane Irma Relief  via @SamLaFantasie,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.85,agree,medium
AUDIT0012,hurricane_dorian_2019,1167746419467456512,"@Sharon77541607 @mikeseidel @weatherchannel I love Cape Canaveral. Oh, they just announced on CNN that Dorian isnt going to make landfall in FL, but instead skirt the coast? Well see what happens at 11:00, something different every few hours. Were already flooding, not related to the hurricane!",infrastructure_and_utility_damage,not_humanitarian,0.95,disagree,high
AUDIT0013,hurricane_harvey_2017,902857654464159745,**#Houston #Musicians** Heres #Help if your #Equipment was damaged or you need #Assistance due to #HurricaneHarvey👍,infrastructure_and_utility_damage,requests_or_urgent_needs,0.85,disagree,medium
AUDIT0014,kerala_floods_2018,1032263621588529152,#SOSKerala -- Man commits suicide after finding out destroyed home in flood-struck #Kerala. #KeralaFloods,injured_or_dead_people,injured_or_dead_people,0.9,agree,high
AUDIT0015,kerala_floods_2018,1030408583576346624,"#KERALAFLOODS #Aluva old people and families stuck in FMCT school Karumaloor, in Aluva Paravoor road.The water levels are getting higher there. Please help #Rescuekerala #CMOkerala",requests_or_urgent_needs,requests_or_urgent_needs,0.95,agree,high
AUDIT0016,hurricane_dorian_2019,1168349315280113664,"This is really cool to see a visual aid of how big Dorian is! It will be 50 miles offshore, in comparison to what this shows, but it’s just crazy how hurricanes can impact the state!",other_relevant_information,not_humanitarian,0.95,disagree,high
AUDIT0017,california_wildfires_2018,1061184169752084480,"We have taken so many blessings for granted just how many were praying and giving thanks for all we had!! Anyone of us?? Now we will learn how to share and help each other, no matter the color or creed!! Its not too late to learn this lession. OM! Om!",sympathy_and_support,sympathy_and_support,0.85,agree,medium
AUDIT0018,kaikoura_earthquake_2016,798084239480614913,❤️ὢ2❤️ὢ2 #EQNZ reality setting in #community #kiakaha PM John Key sees Kaikouras widespread destruction from air,infrastructure_and_utility_damage,sympathy_and_support,0.8,disagree,medium
AUDIT0019,hurricane_harvey_2017,902601130814967808,BREAKING NEWS: President Donald Trump arrives in Corpus Christi to survey Hurricane Harvey Damage - YouTube,infrastructure_and_utility_damage,not_humanitarian,0.9,disagree,high
AUDIT0020,california_wildfires_2018,1061249579939741701,"Again, this guy tells everyone in social media that he needs mental help but we only offer hopes and prayers. We need to pray with these people and get them through to happy, healthy lives but the Democrats will not allow us to have mental hospitals anymore.",sympathy_and_support,not_humanitarian,0.9,disagree,high
AUDIT0021,kerala_floods_2018,1031094087309348864,RT @Forumreelz: Important !! Things to be noted while returning to ur homes ὄD #KeralaFloods #KeralaRains,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0022,hurricane_florence_2018,1039498535069274112,"O Virgin, Star of the Sea, Our beloved Mother wrap your mantle around all those who are in the path of #HurricaneFlorence; protect them and their homes and keep all emergency personnel safe.",sympathy_and_support,sympathy_and_support,0.95,agree,high
AUDIT0023,canada_wildfires_2016,729706052866842624,"RT @atgiggleswick: @MerlinYYC @JustinTrudeau Exactly, help the people in the wildfire area AND stop fanning the flames of the cold war with",requests_or_urgent_needs,not_humanitarian,0.85,disagree,medium
AUDIT0024,kerala_floods_2018,1030938481403486209,Fair chance this didnt make it to your Western newsfeed yet: The worst floods in a century killed dozens in the tourist state of #Kerala in #India. Rising water has stranded tens of thousands of people and forced the closure of one of airports. Source:,injured_or_dead_people,infrastructure_and_utility_damage,0.8,disagree,medium
AUDIT0025,kaikoura_earthquake_2016,800452421382066177,"There was plenty of confusion around last weeks quake, but why?  #eqnz",not_humanitarian,not_humanitarian,0.85,agree,medium
AUDIT0026,canada_wildfires_2016,732630821186625536,"As we continue to support our employees &amp; those evacuated in the #ymmfire, share this article w/ others affected.",sympathy_and_support,displaced_people_and_evacuations,0.85,disagree,medium
AUDIT0027,hurricane_dorian_2019,1167550049435471872,"From our family to yours, stay safe! We’ll be thinking of our Vikings near and far as well as all those who may be impacted by Dorian. Please find shelter information and City of Orange County updates here:",sympathy_and_support,caution_and_advice,0.85,disagree,medium
AUDIT0028,hurricane_irma_2017,907702637382062081,"Ravaged by Hurricane Irma, U.S. Virgin Islands are in critical need of humanitarian aid. Help support the recovery:",requests_or_urgent_needs,requests_or_urgent_needs,0.95,agree,high
AUDIT0029,hurricane_irma_2017,907375586775126017,Hurricane Irma: Florida assesses damage as storm weakens,caution_and_advice,infrastructure_and_utility_damage,0.85,disagree,medium
AUDIT0030,california_wildfires_2018,1066022555218296832,"Yes , understood. The planes will stop flying, no food or medicine , fuel will run out &amp; we will all be sitting around a camp fire holding hands singing amazing grace. Luckily I’ve got a nice vegatable plot and an array of pets and farm animals to survive on..",not_humanitarian,not_humanitarian,0.95,agree,high
AUDIT0031,hurricane_florence_2018,1042059613665939457,Come by our studios at 3165 Olentangy River Rd to donate cleaning supplies and non-perishable food for those affected by Hurricane Florence. Great turnout so far but we can always use more! Thanks to @BuckeyeRedCross and @rockcitychurch,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,disagree,high
AUDIT0032,cyclone_idai_2019,1113523322434850818,"Almost 5,000 children in Mozambique were separated from their parents by Cyclone Idai, says the UN. No one knows exactly how many people are missing yet. Thousands of people are still in camps waiting for floodwaters to recede and communication to be restored.",displaced_people_and_evacuations,missing_or_found_people,0.9,disagree,high
AUDIT0033,hurricane_maria_2017,912295951741550592,@NOAA NHC 8AM EDT 092517 MARIA 30.8N 73.0W Cat 1-75 mph N 7mph 961mb Tropical Storm WARNING: NC Coast Extreme Swell Surf: East US Coast,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0034,kerala_floods_2018,1033210167121391616,"Kerala deluge: UK charity blames climate change for floods, claims it is a wake up call #KeralaFloods #KeralaFloodRelief",not_humanitarian,other_relevant_information,0.8,disagree,medium
AUDIT0035,kaikoura_earthquake_2016,797910646398431232,Raglan water supply still affected. Please conserve water. Only use for drinking. You do not need to boil it.  #eqnz,requests_or_urgent_needs,caution_and_advice,0.95,disagree,high
AUDIT0036,hurricane_irma_2017,906177601403834369,Central Florida animal shelter need your help! Stay safe everyone! #hurricaneirma,requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0037,hurricane_florence_2018,1040789396927262720,"Just spoke to my #dad, currently #living at the #homelessshelter in #Seoul &amp; he described it like #jail =( please #help! He needs $2000, for a #securitydeposit, to #find a #place #asap!",requests_or_urgent_needs,requests_or_urgent_needs,0.95,agree,high
AUDIT0038,kerala_floods_2018,1032349343099936769,"UAE has offered more financial aid for #KeralaFloods compared to Union govt of Indian Union itself!Last year, same Union govt offered more money to Nepal than to state of West #Bengal during floods. Govt of India gave ZERO Taka during floods to West Bengal. Shame. Utter shame.",rescue_volunteering_or_donation_effort,other_relevant_information,0.8,disagree,medium
AUDIT0039,hurricane_harvey_2017,903428689794387968,@espn @OhioStateFB Talk about Dobbins hometown LaGrange TX also being deeply effected by #Harvey They need help down here.,requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0040,hurricane_maria_2017,913048818350002176,Hurricane Maria wrought significant damage at one of Beachwood-based @DDR_Corps Puerto Rico centers:  $DDR #REITs,infrastructure_and_utility_damage,infrastructure_and_utility_damage,0.95,agree,high
AUDIT0041,hurricane_dorian_2019,1167527232446894080,Pre hurricane storms my way home from Salt Springs today. Flooding up here towards Brooksville #hurricanedorian @ Withlacoochee State Forest,other_relevant_information,infrastructure_and_utility_damage,0.85,disagree,medium
AUDIT0042,hurricane_maria_2017,914077533045444610,Relief Efforts for Puerto Rico are ramping up to bring needed help to those devastated by Hurricanes Irma &amp; Maria.,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,disagree,high
AUDIT0043,california_wildfires_2018,1067135700900999174,"@realDonaldTrump California is complaining that they dont believe that they can find homes or rooms for 6,000 homeless from the fires in the entire state of California according to fake news media reports HOWEVER Calif. wants the doors open for 9,000 illegals in the caravans or more.",displaced_people_and_evacuations,displaced_people_and_evacuations,0.8,agree,medium
AUDIT0044,hurricane_maria_2017,911691528006971392,Communication lines down in #PuertoRico as officials rush to evacuate residents living downstream of failing Dam,displaced_people_and_evacuations,displaced_people_and_evacuations,0.9,agree,high
AUDIT0045,hurricane_florence_2018,1039910556440952834,This is a comprehensive guide to food safety after losing power or experiencing flood water damage in your home. #HurricaneFlorence,infrastructure_and_utility_damage,caution_and_advice,0.95,disagree,high
AUDIT0046,canada_wildfires_2016,729070869084000260,Help is urgently needed! Donate to the @redcrosscanada Alberta Wildfire relief effort here:,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,0.95,disagree,high
AUDIT0047,hurricane_harvey_2017,902633124680617984,Together we can do more to support those affected by Hurricane Harvey: The  #SEO @ WebiMax,sympathy_and_support,rescue_volunteering_or_donation_effort,0.85,disagree,medium
AUDIT0048,hurricane_florence_2018,1040715438928392192,JUST TWO WEEKS of donations from the generous patients and staff treeoflifehealth and they cant even close the box! PHENOMENAL! Tell your Doctor to register to donate empty Vitamin,not_humanitarian,rescue_volunteering_or_donation_effort,0.85,disagree,medium
AUDIT0049,hurricane_dorian_2019,1167746174096478209,"Hurricane Dorian could be the first Cat. 4 or higher hurricane to make landfall on Floridas east coast since 1992, when Hurricane Andrew was blamed for 44 deaths in the state. Track its path",injured_or_dead_people,other_relevant_information,0.85,disagree,medium
AUDIT0050,kerala_floods_2018,1031764789620436992,#Salute this man for his selfless service to the nation !! Cant even imagine how difficult it would have been to stand for hours in water that too in bending position. Salaam dost ὤFὤF This man should be awarded !! @CMOKerala #KeralaFloods #KeralaFloodRelief @RahulEaswar,not_humanitarian,sympathy_and_support,0.85,disagree,medium
AUDIT0051,kerala_floods_2018,1035559870961836032,"At least 12 people have died and more than 3000 families across 400 villages in #Nagaland have been displaced due to the ongoing #floods. Despite being drowned by incessant #rain, the state is staring at #drought",injured_or_dead_people,displaced_people_and_evacuations,0.9,disagree,high
AUDIT0052,kaikoura_earthquake_2016,800869525646360576,"Hrm, anyone know of a smartphone app that will record xyz sensor data and record/share that over http? re #eqnz",requests_or_urgent_needs,not_humanitarian,0.95,disagree,high
AUDIT0053,hurricane_irma_2017,908716862577315840,Boca Raton couple opens their home to more than 70 foster kids displaced by Hurricane Irma,rescue_volunteering_or_donation_effort,displaced_people_and_evacuations,0.9,disagree,high
AUDIT0054,hurricane_maria_2017,913410722511642625,Truly horrific. Our fellow Americans are desperate and need our help right now. Heres one option:,requests_or_urgent_needs,requests_or_urgent_needs,0.85,agree,medium
AUDIT0055,kaikoura_earthquake_2016,797969420677095424,RT @MarlEmergency: #Eqnz update - Crew of 10 from the Nelson Tasman Rescue Team join #MarlboroughNZs response to todays earthquakes: http,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.95,agree,high
AUDIT0056,hurricane_maria_2017,913339650818928641,Prayers to ALL The Families affected by Hurricane Maria in Puerto Rico &amp; The Caribbean-Charities involved-@Americares @OneRedCrossCNY tBLSt,sympathy_and_support,sympathy_and_support,0.95,agree,high
AUDIT0057,hurricane_harvey_2017,902647987851202561,"I found out that the City of Houston will be shutting off its water supply due to contamination. Please, get the word out.",caution_and_advice,infrastructure_and_utility_damage,0.95,disagree,high
AUDIT0058,hurricane_irma_2017,907985515303067648,Power out after #Irma? Avoid food poisoning. Toss any perishable food that has been at or above 40F for over 2 hrs.,caution_and_advice,caution_and_advice,0.95,agree,high
AUDIT0059,canada_wildfires_2016,728688168464080896,RT @EComm911_info: Our thoughts go out to emerg responders &amp; firefighters on the front line. Donate to @redcrosscanada #ymmfire .,sympathy_and_support,rescue_volunteering_or_donation_effort,0.9,disagree,high
