annotation_id,primary_label,secondary_label,confidence,ambiguous,reason
AUDITV2_0001,other_relevant_information,sympathy_and_support,2,yes,Describes interfaith sheltering and welcome during Kerala floods as positive example.
AUDITV2_0002,injured_or_dead_people,,3,no,Focuses on death toll from predictable cyclone and leadership failure.
AUDITV2_0003,infrastructure_and_utility_damage,,3,no,Reports damage including no power phones or internet in Dominica.
AUDITV2_0004,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Military planes and ships sent to quake-affected areas as response.
AUDITV2_0005,rescue_volunteering_or_donation_effort,,3,no,Call to send much-needed supplies before carriers stop delivering.
AUDITV2_0006,sympathy_and_support,,3,no,Thoughts with those who were affected by the quake.
AUDITV2_0007,injured_or_dead_people,other_relevant_information,2,yes,Mentions nearly 3000 deaths in Puerto Rico with political commentary.
AUDITV2_0008,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,States need help to contain and stop the fire from spreading.
AUDITV2_0009,other_relevant_information,sympathy_and_support,2,yes,Praises hurricane hunter crews for data supporting life-saving decisions.
AUDITV2_0010,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Lost everything and needs help please spread and donate.
AUDITV2_0011,other_relevant_information,caution_and_advice,2,yes,Reports aftershocks coming thick and fast.
AUDITV2_0012,displaced_people_and_evacuations,caution_and_advice,2,yes,Describes lack of warning and eventual evacuation of homes.
AUDITV2_0013,injured_or_dead_people,other_relevant_information,2,yes,Mentions rising death toll and homes decimated with critique of racial hostilities.
AUDITV2_0014,rescue_volunteering_or_donation_effort,,3,no,Saving paper towels for hurricane Florence aid.
AUDITV2_0015,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,Hopes people in need are getting the aid being delivered.
AUDITV2_0016,other_relevant_information,,3,no,Criticizes politicizing donations for Cyclone Idai victims.
AUDITV2_0017,displaced_people_and_evacuations,caution_and_advice,2,yes,St. Lucie County to open shelters Sunday.
AUDITV2_0018,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Suggests spending on water bombers instead of F-35s for wildfire response.
AUDITV2_0019,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Asks how to help pups affected by Hurricane Florence.
AUDITV2_0020,other_relevant_information,displaced_people_and_evacuations,2,yes,Notes Irma compounding food insecurity and displacement in Haiti.
AUDITV2_0021,rescue_volunteering_or_donation_effort,,3,no,Plea to help furry friends after quake.
AUDITV2_0022,injured_or_dead_people,other_relevant_information,2,yes,Historical death toll from 1935 Labor Day Hurricane including vets.
AUDITV2_0023,rescue_volunteering_or_donation_effort,,3,no,Construction association donating $100k to Fort McMurray wildfire relief.
AUDITV2_0024,sympathy_and_support,requests_or_urgent_needs,2,yes,Notes devastation displacement deaths and need for assistance and support.
AUDITV2_0025,other_relevant_information,injured_or_dead_people,2,yes,Critiques regime and notes people died of hunger in past similar situations.
AUDITV2_0026,injured_or_dead_people,other_relevant_information,2,yes,Reports hundreds killed and 600000 in need of aid with media critique.
AUDITV2_0027,not_humanitarian,,3,no,Business news wrap with only tangential mention of Kerala floods.
AUDITV2_0028,infrastructure_and_utility_damage,other_relevant_information,2,yes,Residents see first images of homes following wildfire.
AUDITV2_0029,other_relevant_information,,3,no,Critique of weather channel anthropomorphizing the hurricane.
AUDITV2_0030,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Requests fuel vegetables and larger team of doctors for Kerala.
AUDITV2_0031,other_relevant_information,,3,no,Critique that scientists have not provided adequate explanations of the fault.
AUDITV2_0032,injured_or_dead_people,missing_or_found_people,2,yes,Sad update 631 missing death toll hits 63.
AUDITV2_0033,other_relevant_information,,3,no,Comprehensive re-entry booklet for residents.
AUDITV2_0034,infrastructure_and_utility_damage,,3,no,Pink car remains among ruins of destroyed homes.
AUDITV2_0035,caution_and_advice,other_relevant_information,2,yes,Hurricane Dorian 7 states within the cone.
AUDITV2_0036,other_relevant_information,infrastructure_and_utility_damage,2,yes,Rain relief from wildfires but will cause new problems complicating locating missing.
AUDITV2_0037,other_relevant_information,,3,no,Quantifies 8.5 trillion gallons of water that fell on North Carolina.
AUDITV2_0038,other_relevant_information,,3,no,Trump promises safe forests as he surveys wildfire damage.
AUDITV2_0039,sympathy_and_support,requests_or_urgent_needs,2,yes,Questions lack of aid to New Zealand after earthquake.
AUDITV2_0040,displaced_people_and_evacuations,infrastructure_and_utility_damage,2,yes,Town destroyed and quarter million evacuated with critique of funding threat.
AUDITV2_0041,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Reports on prisoner firefighters risking lives for $1 an hour.
AUDITV2_0042,injured_or_dead_people,caution_and_advice,2,yes,Red alert death reached 42 heavy rains continue pray for Kerala.
AUDITV2_0043,caution_and_advice,sympathy_and_support,2,yes,Advice to stay strong help each other remember pets get to safety.
AUDITV2_0044,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Wildfire threatening communities please help.
AUDITV2_0045,infrastructure_and_utility_damage,rescue_volunteering_or_donation_effort,2,yes,Road connectivity restored temporary bridges medical camps by army.
AUDITV2_0046,not_humanitarian,,2,yes,Morning news list including Florence among unrelated items.
AUDITV2_0047,requests_or_urgent_needs,,3,no,Need help now with food shelter and necessities not the fires.
AUDITV2_0048,injured_or_dead_people,requests_or_urgent_needs,2,yes,Victims searching for their own dead government not taking seriously.
AUDITV2_0049,not_humanitarian,,3,no,Law firm advertisement for post-Irma help.
AUDITV2_0050,missing_or_found_people,rescue_volunteering_or_donation_effort,2,yes,Hundreds missing families separated we are helping them find each other.
AUDITV2_0051,sympathy_and_support,displaced_people_and_evacuations,2,yes,People still in tents pray for health and safety of affected.
AUDITV2_0052,infrastructure_and_utility_damage,sympathy_and_support,2,yes,Returned home some damage but home dry with power grateful.
AUDITV2_0053,displaced_people_and_evacuations,other_relevant_information,2,yes,Powerful quake prompts temporary evacuation in coast.
AUDITV2_0054,infrastructure_and_utility_damage,,3,no,Crew put up temporary dams to block water from I-10.
AUDITV2_0055,missing_or_found_people,injured_or_dead_people,2,yes,Lives lost two junior golfers missing homes swept people marooned pray.
AUDITV2_0056,rescue_volunteering_or_donation_effort,,3,no,Help urgently needed donate to Red Cross Alberta Wildfire relief.
AUDITV2_0057,displaced_people_and_evacuations,infrastructure_and_utility_damage,2,yes,Airmen assess damage and evacuate civilians.
AUDITV2_0058,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Hot coffee needed please help to send some coffee.
AUDITV2_0059,injured_or_dead_people,displaced_people_and_evacuations,2,yes,Thousands flee others die drown from lack of resources.
AUDITV2_0060,rescue_volunteering_or_donation_effort,,3,no,Rundown of what team can do to help call anytime.
AUDITV2_0061,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,Pray and consider how you can help.
AUDITV2_0062,other_relevant_information,,3,no,Kerala requests for funds national disaster declaration and UAE aid all refused.
AUDITV2_0063,not_humanitarian,,3,no,Wish for rain due to local forest fires unrelated to Irma.
AUDITV2_0064,rescue_volunteering_or_donation_effort,,3,no,Please help us get the word out RT would help.
AUDITV2_0065,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,School district will give students 3 free meals a day for year after Harvey.
AUDITV2_0066,other_relevant_information,,3,no,Critique of Trump threats to cut aid and other policy issues.
AUDITV2_0067,infrastructure_and_utility_damage,,3,no,Most reporting relatively moderate damage one broke a glass.
AUDITV2_0068,infrastructure_and_utility_damage,,3,no,Florida agriculture losses widespread billions in damage.
AUDITV2_0069,sympathy_and_support,,3,no,Stand in prayer for those in path of Dorian ready to support.
AUDITV2_0070,other_relevant_information,,3,no,Call to fill out felt detailed report for the quake.
AUDITV2_0071,other_relevant_information,displaced_people_and_evacuations,2,yes,UIL creating waivers for players displaced by Harvey.
AUDITV2_0072,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,Hope everyone staying safe looking into ways we can help.
AUDITV2_0073,displaced_people_and_evacuations,caution_and_advice,2,yes,Space Coast beachside evacuation ordered ahead of Dorian.
AUDITV2_0074,caution_and_advice,,3,no,New threat churning prompting weather watches in areas hit by Irma.
AUDITV2_0075,sympathy_and_support,other_relevant_information,2,yes,Thoughts and prayers worked saw positive about Florence.
AUDITV2_0076,other_relevant_information,infrastructure_and_utility_damage,2,yes,Update rain some wind still have power no flooding.
AUDITV2_0077,injured_or_dead_people,other_relevant_information,2,yes,Hearts broken about bridge collapse after Kerala flood mention.
AUDITV2_0078,injured_or_dead_people,missing_or_found_people,2,yes,Death toll rises more than 500 still missing rains douse wildfire.
AUDITV2_0079,caution_and_advice,displaced_people_and_evacuations,2,yes,Dam releasing more water peoples in Chengannur kindly move to safe place.
AUDITV2_0080,rescue_volunteering_or_donation_effort,,2,yes,Request to celebrity for larger donation to Kerala flood relief.
