annotation_id,primary_label,secondary_label,confidence,ambiguous,reason
AUDITV2_0001,displaced_people_and_evacuations,other_relevant_information,2,yes,"Describes Muslims sheltering Hindu families during floods, framed as interfaith-harmony commentary."
AUDITV2_0002,injured_or_dead_people,other_relevant_information,2,yes,Criticizes leadership over cyclone death toll comparison with Mozambique.
AUDITV2_0003,infrastructure_and_utility_damage,,3,no,"Describes loss of power, phones, internet in Dominica after the hurricane."
AUDITV2_0004,rescue_volunteering_or_donation_effort,,3,no,Reports military planes/ships sent to earthquake-affected areas.
AUDITV2_0005,rescue_volunteering_or_donation_effort,,3,no,Calls for sending supplies before couriers stop delivering to storm area.
AUDITV2_0006,sympathy_and_support,,3,no,Expresses thoughts for those affected without a concrete aid action.
AUDITV2_0007,injured_or_dead_people,other_relevant_information,2,yes,References PR death toll amid a racially charged political comparison.
AUDITV2_0008,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,States a need for help containing the wildfire.
AUDITV2_0009,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Praises hurricane hunter crews collecting forecast data for emergency managers.
AUDITV2_0010,requests_or_urgent_needs,rescue_volunteering_or_donation_effort,2,yes,Personal victim reports losing everything and asks for help/donations.
AUDITV2_0011,other_relevant_information,caution_and_advice,2,yes,Personal update on ongoing aftershocks without an explicit warning.
AUDITV2_0012,displaced_people_and_evacuations,caution_and_advice,2,yes,Describes evacuating home at night after no advance flood warning.
AUDITV2_0013,injured_or_dead_people,infrastructure_and_utility_damage,1,yes,"Mixed impact summary (flooding, death toll, homes) amid a political complaint."
AUDITV2_0014,rescue_volunteering_or_donation_effort,,3,no,Saving paper towels specifically for hurricane aid donation.
AUDITV2_0015,sympathy_and_support,rescue_volunteering_or_donation_effort,2,yes,"Expresses hope that aid is reaching people in need, no concrete action by author."
AUDITV2_0016,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Commentary on proper handling of cyclone donations vs political misuse.
AUDITV2_0017,displaced_people_and_evacuations,caution_and_advice,2,yes,Announces county opening shelters ahead of the storm.
AUDITV2_0018,other_relevant_information,rescue_volunteering_or_donation_effort,2,yes,Opinion on redirecting government spending toward wildfire water bombers.
AUDITV2_0019,rescue_volunteering_or_donation_effort,not_humanitarian,2,yes,"Asks how to help animals affected, though geography mentioned is confusing."
AUDITV2_0020,displaced_people_and_evacuations,requests_or_urgent_needs,2,yes,Notes compounding food insecurity and displacement from Irma in Haiti.
AUDITV2_0021,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Requests help for animals after the earthquake.
AUDITV2_0022,injured_or_dead_people,other_relevant_information,2,yes,Cites historical hurricane death toll as a comparison point.
AUDITV2_0023,rescue_volunteering_or_donation_effort,,3,no,Construction association donating funds to wildfire relief.
AUDITV2_0024,displaced_people_and_evacuations,requests_or_urgent_needs,1,yes,"Mixed summary citing displacement, deaths and desperate need of assistance."
AUDITV2_0025,other_relevant_information,injured_or_dead_people,1,yes,Political complaint about repeated government failure tied to past hunger deaths.
AUDITV2_0026,requests_or_urgent_needs,injured_or_dead_people,2,yes,"States 600,000 people in need of aid alongside the death toll and media bias claim."
AUDITV2_0027,not_humanitarian,other_relevant_information,2,yes,News roundup bundling unrelated business items with the floods hashtag.
AUDITV2_0028,infrastructure_and_utility_damage,,3,no,Residents see first images of homes after the wildfire.
AUDITV2_0029,not_humanitarian,other_relevant_information,2,yes,"Opinion about media personifying storms, not about humanitarian impact."
AUDITV2_0030,requests_or_urgent_needs,,3,no,"Explicit list of needed fuel, vegetables and doctors for Kerala."
AUDITV2_0031,other_relevant_information,,2,no,Commentary that scientists haven't adequately explained the fault activity.
AUDITV2_0032,missing_or_found_people,injured_or_dead_people,2,yes,Reports 631 missing alongside a rising death toll of 63.
AUDITV2_0033,caution_and_advice,other_relevant_information,2,yes,Announces a re-entry guidance booklet for returning residents.
AUDITV2_0034,infrastructure_and_utility_damage,,3,no,Describes a car among ruins of destroyed property after the wildfire.
AUDITV2_0035,caution_and_advice,other_relevant_information,2,yes,Reports the hurricane's projected path/cone affecting 7 states.
AUDITV2_0036,missing_or_found_people,other_relevant_information,2,yes,Notes rain complicating efforts to locate hundreds of missing wildfire victims.
AUDITV2_0037,other_relevant_information,,3,no,"Statistical fact about total rainfall volume, no specific impact class."
AUDITV2_0038,other_relevant_information,caution_and_advice,2,yes,Reports official visit and forest-management policy promise amid wildfire damage.
AUDITV2_0039,rescue_volunteering_or_donation_effort,requests_or_urgent_needs,2,yes,Complains that the world failed to give aid to New Zealand after the quake.
AUDITV2_0040,displaced_people_and_evacuations,infrastructure_and_utility_damage,2,yes,"States a quarter million evacuated and a town destroyed, amid funding criticism."
AUDITV2_0041,rescue_volunteering_or_donation_effort,other_relevant_information,2,yes,Describes prisoner firefighters on the front lines of the wildfire response.
AUDITV2_0042,caution_and_advice,injured_or_dead_people,1,yes,Reports a Red Alert and dam openings alongside the rising death toll.
AUDITV2_0043,caution_and_advice,,3,no,Gives explicit safety instructions for pets and evacuation preparation.
AUDITV2_0044,rescue_volunteering_or_donation_effort,caution_and_advice,2,yes,Direct plea for help as wildfire threatens the community.
AUDITV2_0045,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,Reports military-led bridge restoration and medical camps as relief efforts.
AUDITV2_0046,not_humanitarian,other_relevant_information,2,yes,News bulletin bundling unrelated stories with the hurricane hashtag.
AUDITV2_0047,requests_or_urgent_needs,,3,no,"States explicit need for food, shelter and necessities over firefighting."
AUDITV2_0048,rescue_volunteering_or_donation_effort,injured_or_dead_people,2,yes,Criticizes absence of soldiers while victims search for the dead themselves.
AUDITV2_0049,not_humanitarian,rescue_volunteering_or_donation_effort,2,yes,Law-firm advertisement using the storm as a marketing hook.
AUDITV2_0050,missing_or_found_people,requests_or_urgent_needs,2,yes,Describes helping separated families reunite and hundreds still missing.
AUDITV2_0051,displaced_people_and_evacuations,sympathy_and_support,2,yes,"People still in tents amid more rain, plus a request to spread word and pray."
AUDITV2_0052,other_relevant_information,infrastructure_and_utility_damage,2,yes,Personal update expressing gratitude for minor damage and retained power.
AUDITV2_0053,displaced_people_and_evacuations,,3,no,Reports the earthquake prompted a temporary coastal evacuation.
AUDITV2_0054,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,2,yes,Crew builds temporary dams to protect a highway from floodwater.
AUDITV2_0055,missing_or_found_people,injured_or_dead_people,1,yes,"Reports two named boys missing amid broader deaths, homes swept away, and calls to mobilize."
