annotation_id,event,tweet_id,original_human_label,gpt4o_label,gpt4o_confidence,gpt4o_entropy,gpt4o_status,sampling_group,confidence_band,source_path,source_sha
PILOT001,hurricane_maria_2017,912144700173193216,other_relevant_information,other_relevant_information,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_maria_2017/hurricane_maria_2017_train_pred.csv,b7b215ed55b6f1db0f1dbb5b3221e27b8540d8e6
PILOT002,hurricane_maria_2017,913012090708819969,sympathy_and_support,sympathy_and_support,0.85,,ok,agree,medium,data/pseudo-labelled/gpt-4o/hurricane_maria_2017/hurricane_maria_2017_train_pred.csv,b7b215ed55b6f1db0f1dbb5b3221e27b8540d8e6
PILOT003,hurricane_maria_2017,910693674543132673,requests_or_urgent_needs,other_relevant_information,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_maria_2017/hurricane_maria_2017_train_pred.csv,b7b215ed55b6f1db0f1dbb5b3221e27b8540d8e6
PILOT004,kerala_floods_2018,1031459268107456513,other_relevant_information,other_relevant_information,0.8,,ok,agree,medium,data/pseudo-labelled/gpt-4o/kerala_floods_2018/kerala_floods_2018_train_pred.csv,bc63719c0c62fdf181a895f3d58a3017b95ca5d1
PILOT005,california_wildfires_2018,1065233838077616129,not_humanitarian,displaced_people_and_evacuations,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/california_wildfires_2018/california_wildfires_2018_train_pred.csv,4ff8c4946b30f8eea4d17f31e760e89119587e38
PILOT006,hurricane_irma_2017,906330084390395909,other_relevant_information,displaced_people_and_evacuations,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_irma_2017/hurricane_irma_2017_train_pred.csv,22eaceb4055725c64d57a6f72b68831c3ce970c3
PILOT007,kerala_floods_2018,1030396263991193600,injured_or_dead_people,infrastructure_and_utility_damage,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/kerala_floods_2018/kerala_floods_2018_train_pred.csv,bc63719c0c62fdf181a895f3d58a3017b95ca5d1
PILOT008,kerala_floods_2018,1033905680837632000,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,0.95,,ok,agree,high,data/pseudo-labelled/gpt-4o/kerala_floods_2018/kerala_floods_2018_train_pred.csv,bc63719c0c62fdf181a895f3d58a3017b95ca5d1
PILOT009,canada_wildfires_2016,729143335475027968,displaced_people_and_evacuations,other_relevant_information,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/canada_wildfires_2016/canada_wildfires_2016_train_pred.csv,a97ca25b9fe789bcc096a073b8c24cfd140cc535
PILOT010,canada_wildfires_2016,730747311832211456,sympathy_and_support,displaced_people_and_evacuations,0.95,,ok,disagree,high,data/pseudo-labelled/gpt-4o/canada_wildfires_2016/canada_wildfires_2016_train_pred.csv,a97ca25b9fe789bcc096a073b8c24cfd140cc535
PILOT011,hurricane_dorian_2019,1168131549801472001,caution_and_advice,other_relevant_information,0.85,,ok,disagree,medium,data/pseudo-labelled/gpt-4o/hurricane_dorian_2019/hurricane_dorian_2019_train_pred.csv,99636c941ffabd92a8edc950fde42c0b14153f3f
